global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05
1714.34120829659	n/a	n/a	2938965.778463812	1914.47103815852	n/a	3665199.355947762	n/a	1783.861133242325	n/a	3182160.542692592	n/a	1827.0814639802657	1231.3611724394605	n/a	n/a	n/a	n/a	0.0033671669	-0.0599245888	0.0055516971	-0.0176595644	0.0892657384	-0.0575662157	0.0310728206	-0.1588852672	0.000981336	-0.1370538513	0.122758547	-0.1313866839	0.0224305518	-0.0439614268	0.045610426	0.0714170404	-0.104183673	0.0109158969	-0.0234983884	0.0172984912	-0.0041815747	0.040662557	-0.0411654561	0.0932179951	-0.0216074391	0.1083274654	-0.1828977177	0.0411514803	-0.0373969353	0.1146575871	-0.053810389	0.1006136833	-0.1359542566	-0.0438432385	0.0384608038	-0.1122948276	-0.0796747622	0.0374794172	-0.0938313848	0.0131691734	-0.2032888701	0.0054826742	-0.0241545497	0.0428353373	-0.1411917813	0.0825200999	-0.1496861484	0.0284093797	-0.0730132488	0.0345804046	-0.1958696865	0.1096401957	-0.028925395	0.0017146664	0.0036403751	-0.0725456459	0.2038462158	-0.0990426495	0.1749120586	0.0062429531	-0.0364761922	0.0961072713	-0.0030720209	0.0124496934	-0.0979999645	0.2545521363	-0.0847438501	0.233973241	-0.0894200592	0.1386011767	-0.3720758118	0.0837020167	0.0318320034	-0.0566644879	0.0366186513	-0.1166910193	0.0297761772	-0.0504471077	0.1290883846	0.1290552057	0.1289999139	0.1289225186	-0.040104582973953	n/a	n/a	0.0016083775755146	0.0294784474651237	n/a	n/a	0.000868978864954	-0.1127993950819359	n/a	0.0127237035308506	n/a	-0.0019840013906751	n/a	n/a	3.93626151820073e-06	-1.5078429993486966e-07	n/a	n/a	2.273590510684873e-14	0.0001520001460972	n/a	2.3104044413570143e-08	n/a	0.0	0.0	0.0	0.0	0.0	0.0
1713.4420984482638	-0.8991098483261339	0.8083985193570435	2935883.82473479	1909.3608835581188	-5.110154600401302	3645658.98366184	26.11368004000259	1783.9354081274755	0.0742748851505439	3182425.5403709426	0.0055167585641264	1827.1123302779213	1240.323300433338	1.030687	14.216369	0.1888354983752484	0.1198799333740545	0.0265911662	0.0442010099	0.0784159678	0.0091515045	0.0351095901	-0.0863275322	0.0590404061	-0.02508065	-0.1137821659	-0.1080530101	0.1720381999	0.0817002195	0.0563969945	0.0022667027	0.0933192276	0.0699087611	-0.0147756145	0.0585511649	0.0352426295	0.0711032262	0.0732078954	-0.0684439506	-0.2053281981	0.0484192938	-0.1175094289	0.0155076615	-0.1386279645	0.0105123626	0.145378731	0.1976494539	-0.0393179382	0.0610119711	0.0411554475	-0.0663029868	0.0068347479	-0.0878177734	0.0017333818	0.08733299	-0.1138405461	0.0898155753	-0.0829133739	0.0294202602	-0.1151296128	0.1176099099	-0.2070841335	-0.0498279267	0.0049178261	0.0193719346	-0.1311827898	0.1298869139	-0.023415376	0.0857808129	0.0458460176	-0.1616177983	-0.0211892784	-0.0442055998	0.3096430285	-0.1392087461	0.0806876177	0.0836487141	-0.1365635747	0.0870541857	-0.081889617	0.0929973247	-0.0492244371	0.119947978	0.063749153	0.1002170174	-0.1657017678	0.0733313959	-0.1739522542	-0.0017461722	0.0761031697	-0.0252585397	-0.0623022544	-0.0126847086	-0.0745705081	-0.1153487085	0.1289999139	0.1287014744	0.1282045865	0.1275100165	-0.0214126220086967	0.0186919609652563	0.0003493894047266	0.0004585003812873	0.1136413585584108	0.0841629110932871	0.0070833956036965	0.0129143583750012	-0.1103655349545391	0.0024338601273967	0.0121805513058015	5.923675119731955e-06	-0.0005289905127658	0.0014550108779093	2.117056654834392e-06	2.79830962596224e-07	-0.0001730288290024	-0.0001728780447024	2.988681834014753e-08	2.993897566594178e-08	0.0001089537449228	-4.30464011744e-05	1.1870918532702564e-08	1.852992654067385e-09	0.0	0.0	0.0	0.0	0.0	0.0
1718.464910330302	5.022811882038241	25.22863920234453	2953121.648036533	1912.7342539194467	3.373370361327943	3658552.326116783	11.379627594685818	1786.0883650658836	2.152956938408124	3190111.647823721	4.635223578639684	1828.822856637472	1251.5952260870683	1.178369	16.253353	0.1703689144518232	0.1143100701714605	-0.0829920865	-0.0047079344	-0.1398234098	0.0120214648	-0.019869559	0.111284728	-0.0205490238	-0.0089754595	0.0616346678	0.1184930135	-0.0225454516	0.0009998135	0.1417697827	0.0389157039	0.1202442836	0.0577134261	0.0077481927	0.0941014988	0.015257632	-0.0493676516	-0.0781408275	-0.0186027784	0.0401093242	0.0298316939	-0.1300212951	0.0690479895	-0.0764172472	-0.0873905345	0.0748238741	0.0216928516	-0.1726452896	0.0199538365	0.1449708959	-0.0961652122	-0.1524795487	-0.0786319809	0.0340889643	0.123820849	0.0800977536	0.0242720581	0.0214288321	-0.0527725306	0.068197375	0.0202556547	-0.1548388909	-0.0400490968	-0.0825705827	-0.1713034506	-0.014728768	0.0252429975	-0.0304724995	-0.0383500174	0.0963015055	0.0545809618	-0.0537073702	-0.0852999214	0.2157535579	-0.0355344718	0.0424080621	0.180429036	0.0094508182	-0.0778614378	-0.1834583706	-0.0111482346	-0.146863076	-0.0458547535	-0.0526854556	-0.0480081443	-0.0088053785	0.1100758943	0.0381304273	0.0795381069	-0.059111986	0.1151285912	-0.0062072704	-0.1278983214	0.1928801079	-0.0676434181	0.1288230331	0.1279949812	0.1266188352	0.124700488	-0.0149779974505577	0.0064346245581389	4.14043932042055e-05	0.0002243404076289	0.0929133169361335	-0.0207280416222773	0.0004296517094948	0.0086328844640743	-0.1636709327821961	-0.053305397827657	0.0267881742377941	0.0028414654375647	0.0010440315238327	0.0015730220365985	2.474398327624493e-06	1.0900018227564296e-06	-0.0002318564437524	-5.882761475e-05	3.460688257174417e-09	5.375741050950983e-08	0.0002751211024493	0.0001661673575265	7.569162101291822e-08	2.7611590707339672e-08	0.0	0.0	0.0	0.0	0.0	0.0
1713.9752238314866	-4.489686498815445	20.15728485764569	2937711.0679081944	1905.381145910315	-7.353108009131802	3630477.3111905046	54.06819739395825	1784.7918045258857	-1.2965605399979268	3185481.785502768	1.6810692338797155	1826.4574673341813	1233.9877231999446	1.148406	15.840083	0.350319814689169	0.1848748783736372	-0.088001933	-0.0486832968	-0.0099823555	-0.074857712	0.0986967666	-0.0680444817	-0.0665961776	-0.0500761616	0.1394870034	-0.0192641446	0.1615862048	0.0181134425	0.1031035774	-0.1197532882	0.0132673187	0.1444585007	0.0880751887	-0.0501669277	-0.0013402268	0.0088945745	0.0087033373	0.0012693982	-0.0828876105	0.0322080709	-0.0417295647	0.2640627782	-0.0864675872	0.1514712988	0.0501599	0.0751070936	0.0742605539	-0.0122483349	-0.0859504333	-0.1192539887	0.0734727219	-0.088556097	-0.1513193556	0.1121551376	0.0281848558	-0.0133883939	0.1006394241	0.0306588991	0.0017875808	0.0309135288	-0.1698161255	0.0312280427	-0.0475281636	-0.0656748304	0.0254438136	-0.0251310716	-0.1501257002	0.0559340543	0.0163731986	-0.1529766749	0.0829588924	-0.1702732988	0.2901512675	-0.0543742184	-0.0135951855	0.1349988091	0.0457601249	-0.0569433766	0.163217053	0.0191930485	0.0185706274	-0.0728326538	-0.2313274559	-0.4023721305	0.1261788277	-0.0792951327	0.0641502362	-0.317763602	0.1445678118	0.0731843988	-0.0260649717	0.186938252	-0.1067468949	0.1369624189	0.1285578634	0.1269376627	0.1242524367	0.1205247148	0.0124465516620659	0.0274245491126236	0.0007521058940307	0.0001549166482764	0.0282362924753698	-0.0646770244607637	0.0041831174930982	0.0007972882127546	0.0181417105198846	0.1818126433020807	0.0003291216605872	0.0330558372644896	0.0023040054016818	0.001259973877849	1.5875341728620982e-06	5.308440890978912e-06	-4.9782174610379926e-05	0.000182074269142	3.315103948360076e-08	2.4782649089383557e-09	0.0001890572931664	-8.606380928289999e-05	3.5742660099406114e-08	7.406979268283383e-09	0.0	0.0	0.0	0.0	0.0	0.0
1711.7433248675572	-2.231898963929325	4.981372985188794	2930065.21022864	1905.0729445998727	-0.3082013104422003	3629302.9242464295	0.0949880477582895	1784.9454218474912	0.1536173216054521	3186030.1589743183	0.0235982814972329	1826.6257322371064	1227.1251035919763	1.116404	15.398666	0.2764227392399912	0.2022105508601728	0.0320719741	-0.1424749448	0.0477026525	-0.0705718676	0.0160769574	-0.0788908254	-0.0039107291	-0.0644473797	0.0038253144	0.1677965437	0.0146003547	0.0265732625	0.0746181326	-0.0286493209	0.0019665346	-0.1237056656	0.1010543247	0.0032553677	-0.0011287629	-0.0035762394	0.0766454312	0.0753206328	0.178428475	0.1078600577	-0.0670246018	-0.1112458347	0.02736013	0.214522052	0.1576902645	0.0623605607	-0.1799407521	-0.0372845541	0.0909658403	-0.0817895189	-0.0061326361	-0.0259395652	-0.0337412147	-0.188390912	0.0940900669	-0.0057362686	0.0016870367	0.030534768	0.0372833801	0.0230764337	-0.0167201317	-0.1209570915	-0.2178954364	0.075642898	0.019012364	0.1283701322	0.0428571651	-0.0607603987	0.1064377623	0.0606664886	0.0520550892	0.0203869622	0.1172825613	-0.1197283007	0.0382515582	0.031467322	0.0826675937	0.0846555076	0.1004971411	-0.107509727	0.0742149524	0.1512980654	0.0945257063	-0.0450217444	0.0315969672	0.010426604	-0.0446393441	0.0368898223	0.0065535944	-0.1190326635	-0.1273051173	0.1874375792	-0.1959730802	0.1621323197	0.1282045865	0.1255324169	0.1211199807	0.1150284477	0.0200065000192779	0.0075599483572119	5.715281916371239e-05	0.0004002600430213	-0.0018314642200891	-0.0300677566954589	0.0009040699926973	3.3542611894665758e-06	-0.0124821058169999	-0.0306238163368844	0.0001558029656267	0.0009378181270352	-0.0015330004107506	-0.0038370058124324	1.4722613604640023e-05	2.3500902593615087e-06	-0.0001870000903843	-0.0001372179157739	1.8828756409338625e-08	3.4969033803736376e-08	-1.4333563599542526e-07	-0.0001892006288023	2.054510454621305e-14	3.5796877939221826e-08	0.0	0.0	0.0	0.0	0.0	0.0
1715.473684308544	3.730359440986831	13.915581558959582	2942849.9615551303	1904.975184755068	-0.0977598448046137	3628930.4545326056	0.0095569872562221	1784.4641169158506	-0.4813049316405795	3184312.1845602663	0.2316544372215429	1826.4049043626528	1243.8308654727794	1.139224	15.713431	0.3693266918483945	0.2446755006210284	0.0224190746	0.0804941249	0.0760821687	0.0481795103	-0.0125099681	0.0452945988	0.0528890513	0.1622089125	-0.0943984385	0.0621061332	0.1638623349	-0.0677659834	0.0396043484	-0.012242149	0.0796285436	0.1113269265	0.0059379128	-0.0097741319	0.1287188248	-0.1641785663	0.0001071447	-0.2450375539	0.0127305635	0.0621585333	-0.2074801182	-0.0686928092	0.0277049802	-0.108975983	-0.0287464024	0.0661933366	0.1219894386	-0.0666374182	0.0126176035	-0.0181692867	-0.0329165521	-0.0460258692	0.0357855778	0.133319275	-0.0220728993	0.0419972982	0.0513957225	0.1201035819	0.1935444194	-0.0291924887	-0.1192465078	-0.0532799071	0.121772922	-0.0303559487	-0.1440338518	-0.175249298	0.1589133414	0.043565293	0.0906486899	-0.1435110986	-0.0354904802	0.0212156141	0.1128249414	0.030902304	0.0453536539	0.2385412606	-0.0143833967	-0.067365921	-0.0769246539	0.1317593732	0.0757168927	-0.0900608227	0.2269526144	0.0420398077	0.0460836659	-0.0750983885	0.3081514626	-0.1309409363	0.0150444151	-0.0585108988	0.1143642435	-0.0484050523	0.0110814147	-0.0136549365	0.1277634447	0.1237830955	0.1172407796	0.1082719048	-0.0480802816665004	-0.0680867816857783	0.0046358098403268	0.00231171348513	0.0004764951134461	0.0023079593335352	5.326676285252244e-06	2.2704759313801175e-07	-0.1500631542008079	-0.137581048383808	0.0225189502486954	0.0189285448743877	0.0013080007414501	0.0028410011522007	8.071287546805705e-06	1.7108659396340114e-06	-0.0005719995633302	-0.0003849994729459	1.482245941686208e-07	3.271835004499395e-07	8.740881228650084e-07	1.0174237588604336e-06	7.640300465336742e-13	1.0351511050936937e-12	0.0	0.0	0.0	0.0	0.0	0.0
1721.8203099718137	6.346625663269606	40.279657309672366	2964665.1798314326	1918.7158689756648	13.740684220596677	3681470.58585904	188.8064028501545	1787.015650445643	2.551533529792323	3193424.9349376643	6.510323353654471	1829.1448682983275	1263.10269282635	1.135566	15.662968	0.0848538430374732	0.0465414935427749	-0.085343272	-0.0809157757	-0.0762857574	0.092549223	0.0205092961	0.1258587309	0.0564953356	-0.0364160921	0.0428697173	-0.0208377705	-0.0304359325	-0.0790061195	0.1600130579	0.0450584576	0.0994984917	0.0284843093	-0.0634860075	-0.0035148891	-0.0387903369	-0.0239701846	-0.1370581392	-0.1720160248	-1.05355e-05	-0.1171931717	-0.1291136542	0.118050587	-0.051619515	0.0685702941	0.0488169217	-0.1674859868	0.1025015878	-0.0066457689	-0.0816806696	-0.1121523049	-0.1332805956	-0.0352849599	0.0248029978	0.0281511617	0.0098418144	-0.0172259838	-0.0997320059	-0.0438722837	0.1179961763	-0.0444516636	-0.1238154399	-0.0039319409	0.1271027669	-0.2185200866	0.1264795682	-0.0469810186	0.0817411717	0.0863446324	-0.0790252765	-0.0725112791	-0.0105173612	-0.0731433906	0.050726252	0.0672257581	0.0343424257	0.1648184321	0.0963499886	-0.0161790076	-0.078867382	-0.0702901439	-0.0341299763	-0.112925341	0.0182644047	0.000122648	0.1009889491	-0.0229495319	0.1607787306	0.0740124208	0.0110225811	0.0579685897	0.0928085076	-0.1383004253	0.0686743432	0.1022483975	0.1272347401	0.1216944932	0.1126387502	0.1003291122	-0.0386102751997441	0.0094700064667562	8.968102248040607e-05	0.0014907533509999	0.0089995260352679	0.0085230309218218	7.264205609433057e-05	8.099146885946477e-05	-0.1122215251125595	0.0378416290882483	0.0125936706985888	0.0014319888920525	0.0011110282374093	-0.0001969725040408	3.879816734810301e-08	1.2343837443208155e-06	-0.0003509094344893	0.0002210901288408	4.888084507088575e-08	1.2313743121360032e-07	0.0001631949864541	0.0001623208983312	2.663260360375388e-08	2.6348074035059123e-08	0.0	0.0	0.0	0.0	0.0	0.0
1719.967433729596	-1.8528762422176897	3.4331503689747467	2958287.973090372	1911.452402310758	-7.263466664906673	3653650.286299568	52.75794799221047	1786.6719065491582	-0.3437438964847388	3192196.501652004	0.1181598663705108	1828.9839492320527	1273.817920935781	1.187925	16.385168	0.2302633815764049	0.1628503170512332	-0.1354150958	0.0627560016	0.1067606773	0.1864588845	-0.0976265746	0.049107201	0.1423566822	-0.0176258555	0.086840856	-0.1698725537	-0.0307817352	-0.0102133551	0.1501115561	0.0055275992	-0.0539530439	0.0416539465	-0.1449809673	0.0372549798	-0.0719733677	0.057794366	-0.0955323568	0.1253991318	-0.0150213909	0.1244023915	0.1342613274	-0.2056122405	0.0657825857	0.025352136	-0.1208037793	-0.0917908323	0.0427311517	-0.0550590327	0.0480947762	-0.146688114	-0.0374567902	0.0501864784	-0.019484579	0.0827134231	-0.0443742865	-0.0048829668	-0.0843344719	-0.1605737973	-0.0660844455	-0.1207868121	0.1111264019	0.0891166599	-0.0680642906	0.2289525546	0.0202769841	-0.1166485708	0.1080297764	-0.0413293775	-0.0519799373	0.0313211474	0.069837694	-0.0328673906	-0.0849153892	-0.0467148638	0.1461166858	0.0005432867	-0.0549150115	-0.0506875572	0.0514153172	-0.105955739	0.1175513645	-0.1000054404	0.003708229	0.0521484801	-0.0038714403	-0.2876029097	0.0847388632	0.1118894655	-0.1828888367	-0.1852645743	0.1341443978	-0.0814208817	-0.0322606351	0.0876543445	0.1266188352	0.1192723348	0.1073422654	0.0912870929	-0.0322218277906074	0.0063884474091367	4.081226029930544e-05	0.0010382461861675	-0.0080552589727744	-0.0170547850080423	0.0002908656916705	6.488719711846248e-05	-0.0339555172525223	0.0782660078600372	0.0011529771518863	0.0061255679863474	-0.0010879980376675	-0.0021990262750767	4.835716558478144e-06	1.1837397299683306e-06	-2.706255963702553e-05	0.0003238468748522	1.0487679835158473e-07	7.323821341075632e-10	0.0001149853103994	-4.820967605469999e-05	1.3221621607646366e-08	2.324172865299113e-09	0.0	0.0	0.0	0.0	0.0	0.0
1704.438606132296	-15.528827597300053	241.14448654666768	2905110.962074204	1898.2814375593853	-13.17096475137282	3603472.4161825264	173.47431248190532	1779.8123525700098	-6.859553979148359	3167732.0103607927	47.05348079285008	1821.9281443760449	1234.310494602175	1.345279	18.555571	0.1266508718787165	0.0747254386641914	0.0183202718	0.0851692709	0.0317239142	-0.078359578	-0.0889412996	-0.1738228086	-0.0202763488	-0.0336571128	0.0347907302	-0.0631073254	-0.1105866676	0.0539945793	-0.1092030774	-0.1473358581	0.0112943754	0.062548008	-0.1024988822	-0.0082183173	-0.0072281216	0.0659868047	-0.1046761308	0.1150692975	-0.0604955199	-0.0122103411	0.0871667149	-0.133065822	0.0141986798	-0.0700520664	-0.1706572056	0.057592007	0.0491968705	0.1445959414	-0.0866404499	0.0595731889	0.1635200227	-0.0680452818	-0.0099729486	0.0657545205	-0.0932269449	0.0062342603	-0.0191924868	-0.127005872	-0.0856204132	-0.1081547013	0.1309078277	0.053296466	0.0389400508	0.10407794	-0.0531882811	-0.0522676323	0.017474719	0.0287126192	0.0042444787	0.0346766211	0.0807821894	0.0710278759	-0.1172099841	-0.0700779311	0.065911695	-0.1297189529	-0.0261136137	-0.04639126	0.1919821633	-0.0611297281	0.1153858678	0.1258372855	0.0076433212	0.0681332592	0.0224929163	-0.1266776312	0.0628427114	0.012896674	-0.0335525535	-0.1128055959	-0.0584437309	0.029411392	-0.067604531	-0.0223141918	0.1259161521	0.1165232592	0.1013839798	0.0812449131	-0.0184687774060563	0.0137530503845511	0.00018914639488	0.0003410957388744	-0.0381115718680291	-0.0300563128952547	0.0009033819448574	0.0014524919102519	0.0010345196214984	0.0349900368740207	1.070230847265193e-06	0.0012243026804453	-0.0019349944647176	-0.0008469964270501	7.174029474356353e-07	3.744203578487751e-06	-8.416247456932702e-05	-5.709991493230149e-05	3.260400285276066e-09	7.083322125632617e-09	0.0001679184029148	5.293309251539999e-05	2.8196590037457113e-08	2.8019122832438944e-09	0.0	0.0	0.0	0.0	0.0	0.0
1713.6092615637658	9.170655431469868	84.10092104274779	2936456.7013171148	1902.8862570272909	4.6048194679056	3620976.107183333	21.20436233200241	1784.6511204679248	4.838767897914977	3184979.6217874195	23.413674769892523	1826.9312594170287	1228.1448167212925	1.199483	16.544582	0.1188900698894386	0.0784964866581041	0.0725484152	0.0799396444	0.0959457469	-0.0419492896	-0.1518255455	0.0050086378	0.1629188186	0.1364878368	-0.1226771886	-0.0402072942	-0.1032661164	-0.0535616115	0.0423003099	0.032424539	0.017439001	-0.0819417152	-0.0152320384	0.0523042123	0.1469184077	-0.0824915323	-0.0054612729	0.1354975921	0.1108193122	-0.1287542024	-0.0004799218	0.0546383665	0.0915531356	-0.0162238771	-0.0380522627	0.0643192936	0.0931478732	0.0813128078	0.1188770897	-0.0431730887	-0.0232896639	0.0594393007	0.1620962044	-0.007308873	-0.0977941426	0.0561333008	0.0734275572	0.0416323371	0.0497556859	-0.0308071228	0.154219415	-0.0987464656	-0.0901068101	-0.0244087282	-0.034060293	0.0076218593	0.0151784764	0.1307649778	0.0865249177	-0.0193963141	0.028754628	0.1825242146	-0.155905844	-0.0767586029	0.0674348674	-0.0020538387	0.0127032174	-0.0111531353	0.0404195294	0.077572742	0.105041907	-0.0257922034	0.1993013327	0.223217611	0.0078409623	-0.049063321	0.1478922957	0.0483190543	-0.029948135	-0.0130704024	-0.0117751794	0.0900884411	-0.0228282666	-0.1937416062	0.1251271724	0.1134548014	0.0948006283	0.0703125971	-0.0211247372499059	-0.0026559598438496	7.054122692141596e-06	0.0004462545238775	-0.0383159170938967	-0.0002043452258676	4.17569713348821e-08	0.0014681095027463	-0.0395933859922763	-0.0406279056137747	0.0015676362143333	0.0016506267145617	-0.0009599853341953	0.0009750091305222	9.506428046018512e-07	9.21571841870062e-07	-0.0005080282736447	-0.0004238657990753	1.7966221562580448e-07	2.580927268224142e-07	5.875614839353729e-05	-0.0001091622545212	3.4522849740433742e-09	1.1916397812164942e-08	0.0	0.0	0.0	0.0	0.0	0.0
