global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04
1737.0438124589352	n/a	n/a	3017321.2064018724	2360.838918944699	n/a	5573560.401203974	n/a	1758.8450759967584	n/a	n/a	3093536.001358043	1879.8163081887767	1051.7013889663133	n/a	n/a	n/a	n/a	-0.0417343352	0.0851875086	-0.0654956715	-0.0203531366	0.0098089385	-0.0413455336	0.2438988299	-0.1518933682	-0.0639284701	-0.0519783855	0.0971189306	0.0085270105	-0.1045133969	0.019378913	-0.0283254012	0.0117124089	-0.0490390775	0.0119861195	-0.0652261147	0.0440135652	-0.0276402459	0.1103110559	0.0103903516	-0.0795002109	0.0246956722	-0.0067016542	0.04894783	-0.0740952679	0.080695216	0.0323717924	-0.0869378409	0.0178972361	-0.0511653311	-0.000419904	0.1046104693	-0.0367146273	0.0957346756	-0.053783444	0.1381603678	-0.0732069919	0.067402425	-0.0001481601	0.0684740785	-0.0908460747	0.0697467347	-0.1174130604	0.0333870305	-0.094276176	0.0451633556	-0.0828145543	0.1821530254	-0.030284791	0.1106690328	0.1290883846	0.1290552057	0.1289999139	0.1289225186	0.0026615116576493	n/a	n/a	7.083644303803125e-06	0.014917231442979	n/a	0.0002225237939234	n/a	-0.0492869644807711	n/a	n/a	0.0024292048677287	0.0014310004265195	n/a	n/a	2.047762220698991e-06	1.5669464703549354e-07	n/a	n/a	2.4553212409577907e-14	0.0002190001015566	n/a	n/a	4.796104448180111e-08	0.0	0.0	0.0	0.0	0.0
1736.0614930585666	-0.982319400368624	0.9649514043405728	3013909.50768074	2346.209781435866	-14.629137508833082	5504700.338505333	214.011664252347	1755.76393918342	-3.0811368133383894	9.493404062509043	3082707.01013688	1875.1662504126864	1062.7625941189688	0.705052	17.348293	0.1150301153250865	0.0533843345020411	0.0109354475	0.0346351984	0.0278751694	-0.0142989219	0.0123898092	0.0072212117	0.095824429	-0.0068572205	0.0001627381	0.0264065436	-0.0846019758	0.1418889356	-0.1121727911	0.0669418537	0.0848857807	-0.0442070267	-0.1059451209	0.1523029302	-0.0071652545	0.023651703	0.0231372523	-0.0398378922	0.1075985733	-0.0677115598	-0.0643194087	-0.0190641657	0.1093188276	-0.0510270602	-0.1164250338	0.008263425	-0.0301400141	0.0390690214	0.0030175617	0.0342966438	0.068362365	-0.0013337542	0.0427331912	-0.0293424067	0.1153655077	-0.0915553323	-0.0016523384	0.0245681929	-0.0686047359	-0.1255746527	0.0396535857	0.0422397489	0.0417630309	0.0618957868	-0.0537286421	-0.1687566886	0.1001597433	-0.0765574318	-0.0117224053	0.1289999139	0.1287014744	0.1282045865	0.1275100165	-2.1229156359936496e-05	-0.0026827408140092	7.197098275150941e-06	4.506770797546322e-10	-0.0231503798496959	-0.0380676112926749	0.0005359400871852	0.0014491430295301	-0.0250218084829469	0.0242651559978242	0.0005887977955987	0.0006260908997572	0.0017589010622597	0.0003279006357401	1.075188269188273e-07	3.093732946818301e-06	0.0004184161875089	0.0004182594928618	1.749410033690641e-07	1.7507210596948297e-07	0.0004731321173661	0.0002541320158095	6.458308145939997e-08	2.23854000483329e-07	0.0	0.0	0.0	0.0	0.0
1733.4841763558857	-2.577316702680946	6.642561385918184	3004967.3896762435	2351.905222830461	5.695441394595036	5531458.1771772	32.438052679266654	1756.4745488191777	0.7106096357576916	0.5049660544316792	3085202.840649534	1872.8975096306344	1046.6030328183292	0.668928	16.45944	0.0836571895250605	0.0390792179905371	-0.027619521	0.0442317177	-0.0383826617	-0.0360225405	-0.0027381789	0.0578230074	0.0740246022	-0.0167160725	-3.19305e-05	0.0628255735	-0.0289283346	0.0601372224	-0.1058598032	-0.0146141077	-0.0529277682	-0.0789022758	-0.0898103398	0.1093783172	0.0053703589	-0.079970503	0.0601222995	-0.0457736534	0.0917408419	0.0261958498	-0.0963807597	-0.0334507705	-0.1116394447	-0.0944684335	0.0268326802	0.0282426995	-0.0583037704	0.0379637912	-0.0195311161	-0.0122151825	0.0926396761	-0.0444567908	0.0698741446	-0.0782276145	0.0839619298	-0.0457247219	-0.0275928156	-0.0002037334	0.0515948867	0.0107176687	0.0932378021	-0.0147167902	-0.0218255993	-0.0062533476	-0.0800695103	-0.0099095216	0.0626368359	-0.0519824668	0.0124373035	0.1288230331	0.1279949812	0.1266188352	0.124700488	-7.036942498928056e-05	-4.9140268629344064e-05	2.4147660009640963e-09	4.951855973321983e-09	-0.0009135752460878	0.0222368046036081	8.346197302643843e-07	0.000494475478979	0.0064026145649762	0.0314244230479231	0.0009874943638948	4.099347326764538e-05	0.0020729276462805	0.0003140265840208	9.86126954717726e-08	4.297029026714014e-06	0.0002521133580595	-0.0001663028294494	2.7656631082876227e-08	6.356114531203765e-08	0.0005917391359939	0.0001186070186278	1.4067624867775308e-08	3.501552050668073e-07	0.0	0.0	0.0	0.0	0.0
1726.3889485016257	-7.095227854259974	50.3422583038666	2980418.8015085487	2338.832500975336	-13.072721855124655	5470137.4676185455	170.8960567014538	1752.781884318247	-3.692664500930732	13.635771116434013	3072244.3339942247	1873.990153959012	1052.308167502821	0.747449	18.39151	0.0993900847633555	0.0503908494802354	-0.0148252174	-0.0269122775	0.0349504209	0.0396826362	0.0507706028	-0.0364198372	0.0426367813	0.0641191947	0.0612490167	0.0210998026	0.0291793269	0.0236749494	-0.0193712707	-0.0427749988	-0.0114412822	0.0457387001	0.0873778629	-0.0585441371	0.0505690405	0.0570726475	-0.0087983769	-0.011820984	-0.0062260223	0.0157512601	0.1438482465	-0.0449410627	0.0271884419	-0.0965437115	-0.1264362388	0.0402115505	-0.0194628646	0.0414631206	-0.0019461475	-0.0068803426	0.0926420331	-0.0429340206	0.0201830848	-0.0017828846	0.012077216	-0.080186375	-0.0715598204	0.0234501196	0.0537943393	-0.0967983391	0.1031395218	0.0078155949	0.0486207431	0.0249919745	-0.0194555967	-0.0525223506	0.0252114852	0.0395708259	0.0349696482	0.1285578634	0.1269376627	0.1242524367	0.1205247148	-0.0128044987143312	-0.0127341292893419	0.0001621580487576	0.0001639551873253	-0.0378093095794724	-0.0368957343333846	0.0014295438908763	0.0013612952119996	0.0325711401802664	0.0261685256152902	0.000684791732878	0.0010608791726425	0.0019980012471527	-7.492639912780015e-05	5.613965286258412e-09	3.992008983623744e-06	9.455538563241106e-07	-0.0002511678042031	6.308526586824491e-08	8.940720952093969e-13	0.0004459994288181	-0.0001457397071758	2.1240062247687945e-08	1.9891549050607146e-07	0.0	0.0	0.0	0.0	0.0
1730.3180155150226	3.929067013396889	15.437567595763548	2994000.434815846	2337.4524243225405	-1.3800766527956512	5463683.835971322	1.9046115675916484	1759.107508155064	6.325623836816931	40.01351692490655	3094459.225247518	1875.986416929706	1017.527274365217	0.731724	18.004572	0.105890783255022	0.0653731247494214	-0.0440530465	-0.0381629713	-0.0343660579	0.0796574422	-0.096640063	0.0107000468	0.0656349933	0.0300852045	-0.0449866718	0.0613664257	0.0515794632	-0.1475723695	-0.1244147662	0.0931601742	-0.0080827356	0.1399766177	-0.0560436951	0.0199233377	-0.0242945765	-0.0904802829	-0.0848383811	0.0873489052	0.0866873624	-0.0391334993	0.0786980335	0.1496144165	0.002799397	0.0111630186	0.0694507152	0.0491609094	-0.0396282763	0.0357190221	-0.0214091687	-0.0344057503	0.1075661137	-0.0337421916	0.0940235952	-0.021253979	-0.0080763115	-0.0128390574	-0.0458610062	-0.0210976698	0.0741026523	-0.1188924758	0.0666213123	-0.1547560119	0.0330067868	-0.0362332795	-0.0938404353	0.0183123374	0.0591661753	-0.023338625	0.1601340893	0.1282045865	0.1255324169	0.1211199807	0.1150284477	-0.0164857577252632	-0.003681259010932	1.3551667905568054e-05	0.000271780207776	-0.0275532399506346	0.0102560696288378	0.0007591810317772	0.0001051869642315	0.0541794803209398	0.0216083401406734	0.000466920363635	0.0029354160878471	0.0010109550956232	-0.0009870461515295	9.742601052491966e-07	1.0220302053665132e-06	0.0002861576924542	0.0002852121385978	8.134596400357397e-08	8.188622495071252e-08	0.0003113554294539	-0.0001346439993642	1.812900656478669e-08	9.694220345042249e-08	0.0	0.0	0.0	0.0	0.0
1736.4410180741925	6.12300255916989	37.49116033960103	3015227.409250538	2340.038456289013	2.586031966472546	5475779.976911468	6.687561331617866	1757.355831126268	-1.751677028795939	3.0683724132113683	3088299.517193496	1875.232651938006	1061.6900503440872	0.62545	15.389621	0.1710851716399045	0.1134021698504333	0.0069450264	0.0247281694	-0.0568827428	-0.0198301427	-0.0539622841	-0.0711205163	0.0135058569	-0.0053469618	-0.02521578	0.0105841135	-0.0133880541	-0.1065121902	0.1667980126	-0.0614843817	0.1033725187	-0.0753877758	-0.1171737029	0.0913655947	-0.0304727275	-0.0262800964	-0.0418065978	0.0554377208	-0.1071177275	0.0660865961	-0.0579223158	0.0650642681	-0.0020963581	0.109773285	-0.0487004402	0.0155105897	-0.0452072051	0.0211739149	-0.0088175053	0.0406557008	0.0501984985	0.0080247083	0.0794398569	-0.0157174401	0.0296104311	-0.0454167754	0.0413494254	-0.0115864835	-0.0107940384	-0.0919944413	-0.0190131493	-0.0308743876	-0.0467816164	0.0563448896	0.0328398175	0.0268441474	0.0483813162	0.0154436721	0.0019159217	0.1277634447	0.1237830955	0.1172407796	0.1082719048	-0.0163460254989189	0.0001397322263443	1.9525095079134965e-08	0.0002671925496113	0.0223523842899311	0.0499056242405657	0.0004996290834447	0.0024905713308405	-0.0421957861804997	-0.0963752665014394	0.0092881919932234	0.0017804843713904	0.0013239367401077	0.0003129816444845	9.795750978422196e-08	1.7528084918070034e-06	0.0002693145770427	-1.6843115411499965e-05	2.8369053676510766e-10	7.25303414076884e-08	0.000474821642989	0.0001634662135351	2.6721202967502913e-08	2.2545559265077333e-07	0.0	0.0	0.0	0.0	0.0
1739.532666957396	3.091648883203561	9.558292817013829	3025973.8994119107	2353.72866391896	13.690207629947054	5540038.623353733	187.4217849510605	1760.510980256565	3.1551491302971044	9.954966034414577	3099398.911603932	1876.4791829619928	1067.9376376602636	0.634214	15.605286	0.1498573603470504	0.0942976891935605	0.0120477143	0.0778672878	-0.0532008145	-0.1048679762	-0.0833305408	0.0491170127	0.0390350448	0.0293403286	-0.0828039987	0.0695676221	0.1037591721	0.0670185348	-0.0523403311	-0.1925169032	-0.1277345714	0.0331118257	0.0472441673	0.0554541262	-0.0805722088	-0.0913907076	0.0383816874	0.0445393832	0.0487690059	0.1185076338	0.0452938276	-0.1758094284	-0.0504368778	-0.0759572521	0.0578988693	0.0108196058	-0.0414361232	0.0288542616	-0.0003771628	0.0308728418	0.0540628709	0.0054494647	0.0689364956	-0.0601033272	0.0507926124	0.0115398797	-0.0106538136	-0.02668406	0.0321632389	0.0947919007	-0.0292128775	0.0858097519	-0.1548920812	0.094515233	-0.0957122037	0.1297559547	-0.0177924202	0.0558760313	0.1085526267	0.1272347401	0.1216944932	0.1126387502	0.1003291122	-0.0269490967995551	-0.0106030713006362	0.0001124251210063	0.0007262538183117	0.1125557014257765	0.0902033171358454	0.0126687859234485	0.0081366384223099	-0.0152175204409559	0.0269782657395437	0.0007278268223134	0.0002315729283709	0.0016529542763285	0.0003290175362208	1.0825253914080546e-07	2.732257839632675e-06	0.0001948608760511	-7.445370099160001e-05	5.5433535913465805e-09	3.7970761015402165e-08	0.0004368387567809	-3.79828862081e-05	1.4426996446974735e-09	1.908280994258823e-07	0.0	0.0	0.0	0.0	0.0
1738.9800170287626	-0.5526499286334001	0.3054219436185022	3024051.4996253555	2351.940205866368	-1.788458052591977	5531622.731970734	3.198582205881088	1757.9706497591828	-2.5403304973822287	6.453279035930241	3090460.805414724	1878.3353565571624	1078.1589153342277	0.655839	16.137384	0.1387574820549379	0.0949922704777783	0.0074615095	0.0962961252	-0.0397335684	-0.0905951239	0.03829578	-0.0287697231	0.0412858004	0.0068991771	-0.0521134907	-0.0282759634	0.0477535313	0.0298169509	0.1207665046	-0.025851843	0.01407889	-0.028101329	-0.0024750321	0.0234781988	-0.0622285423	0.0619414998	0.0034119262	0.0161080213	-0.1225284211	0.0140960943	0.0670555338	-0.0764502664	-0.0065145256	-0.0547378323	-0.0187030475	0.0100164197	-0.0260458404	0.0232469376	0.0227569143	0.043578966	0.0193971874	-0.0058098629	0.0697706216	-0.0526809025	0.04930378	-0.0550256095	0.0207942904	0.0014988089	-0.0111917811	0.0028582767	-0.0708892428	0.0241868859	-0.0368773508	0.0395916711	0.048119526	0.0266073345	-0.0472326109	0.0925984265	-0.1196362234	0.1266188352	0.1192723348	0.1073422654	0.0912870929	-0.016574834929969	0.0103742618695861	0.0001076253093387	0.0002747251529557	0.0241800194858541	-0.0883756819399224	0.0005846733423362	0.0078102611583463	-0.0151228378797299	9.468256122600016e-05	8.964787400315266e-09	0.0002287002255365	0.0017899999132258	0.0001370456368973	1.87815065925866e-08	3.204099689348371e-06	1.8099744474309176e-06	-0.0001930509016036	3.726865060998952e-08	3.276007500352856e-12	0.000904999331964	0.0004681605751831	2.1917432415577106e-07	8.190237908552862e-07	0.0	0.0	0.0	0.0	0.0
1735.210302672555	-3.7697143562077136	14.210746327398542	3010954.79450098	2341.260520283301	-10.679685583067112	5481500.823837234	114.05568415317153	1753.5496227004764	-4.421027058706386	19.54548025381404	3074936.279272984	1872.8128199283549	1072.7377203411124	0.760051	18.70158	0.1668865386707098	0.0948705279246047	0.0175116298	0.089177745	0.0636302182	-0.0129552273	0.0443660351	0.014499725	-0.0810047488	-0.1201340545	0.0238125194	0.0180045797	-0.0448786526	0.0564815771	-0.0694189574	0.1050387622	0.1447229816	-0.1198051474	-0.0210775358	0.0681634178	0.0181436313	0.0092491978	0.0278457098	-0.0234183383	-0.0312907208	-0.0909203808	-0.1350784488	0.0329950047	0.0657288944	-0.0683557247	0.0063588087	0.0105885723	0.021896246	0.029871495	0.0579526059	0.0741845211	0.0381546484	-0.0043808566	-0.0590630248	0.0126072683	0.0734893272	-0.0155228217	-0.0265208955	0.0167112989	-0.048653436	-0.0421851239	-0.0158956321	0.1412486318	0.1198491823	-0.0174505301	-0.0979415902	-0.1597967222	0.0519427984	-0.0341390508	-0.1215534174	0.1259161521	0.1165232592	0.1013839798	0.0812449131	-0.0163670636814288	0.0002077712485402	4.3168891719954086e-08	0.0002678807735519	-0.0493971479196773	-0.0735771674055314	0.0024400782225984	0.0054135995634215	0.0067471501684224	0.0218699880481523	0.0004782963772263	4.5524035395242415e-05	0.0008599996408697	-0.000930000272356	8.6490050658242e-07	7.395993822960131e-07	1.771600162125964e-07	-1.6328144312183213e-06	2.6660829667948098e-12	3.1385671344447414e-14	0.0004120001793816	-0.0004929991525824	2.430481644469645e-07	1.697441478104706e-07	0.0	0.0	0.0	0.0	0.0
1720.8075317772682	-14.40277089528672	207.43980946211823	2961178.561421374	2328.709759122762	-12.550761160538968	5422889.142233592	157.52160570889347	1747.2630364383078	-6.286586262168612	39.52116683168712	3052928.1185036157	1867.4615803457923	1035.0218077665036	0.946382	23.286377	0.1237164095008395	0.0779445114849404	-0.0413518236	-0.0565415898	0.033953511	0.0733516317	0.0649773981	0.0700762738	-0.0279954634	0.059188645	0.1148309761	-0.0402968959	0.049970091	0.0125821796	0.1074652645	0.0084170025	-0.0616215021	-0.0411546286	0.0456897297	-0.0821071611	0.10919313	0.0546997615	0.0521532699	-0.0202636461	-0.0646692291	-0.048587871	0.0455492569	-0.0339405996	-0.0598921198	0.1356048784	-0.0264626305	0.0406879081	0.0048742189	0.0027433887	0.0136957981	-0.020933073	0.0586398642	-0.0442683639	-0.0318340397	0.0378851627	-0.0970418321	0.0039490212	-0.0487715258	0.0255635629	0.1000373834	-0.0173520596	0.0423781602	-0.0266073796	0.0552307682	-0.0750860627	0.0324312979	0.0799879212	-0.1083192833	0.0988175363	-0.0193720633	0.1251271724	0.1134548014	0.0948006283	0.0703125971	-0.0106339021452015	0.0057331615362272	3.2869141200476163e-05	0.0001130798748337	0.0245053829912791	0.0739025309109564	0.0006005137955492	0.0054615840750448	0.0342775369702508	0.0275303868018284	0.0007579221974582	0.0011749495407469	0.0011099994978925	0.0002499998570227	6.249992851142043e-08	1.232098885321602e-06	1.8370492416153186e-07	6.544907948935474e-09	4.283582006003876e-17	3.374749916119417e-14	0.0003309999762758	-8.100020310579999e-05	6.561032903180851e-09	1.0956098429458017e-07	0.0	0.0	0.0	0.0	0.0
