global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18
1651.3233676823622	n/a	2726868.8646538183	n/a	2225.992490147698	n/a	n/a	4955042.566193949	1703.962826431096	n/a	n/a	2903489.313859049	1801.0267511886386	1189.8616974584836	n/a	n/a	n/a	n/a	-0.1458326256	0.0688005974	0.0375169442	0.0966458535	-0.0104014384	0.0219819501	0.0217908191	-0.0510852576	0.0297011307	-0.0853268068	0.0248413808	-0.0036389195	-0.0190408828	0.0486717462	-0.0003648834	0.0964680727	-0.0158955475	0.0624388335	-0.0540965566	-0.0091971714	0.0057460907	-0.0370513048	0.0107492389	-0.011796121	0.1561296271	-0.0375888996	-0.0221462184	0.1615868686	-0.0873917694	0.0564773845	-0.1617470209	0.0562207035	-0.2195869405	0.0936869335	-0.0223517249	0.0613839484	-0.0175863056	-0.0867373969	0.057079673	-0.013244244	0.0853626612	-0.190829351	0.0030519414	0.1290883846	0.1290552057	0.1289999139	0.1289225186	-0.0158967039652822	n/a	n/a	0.0002527051969598	0.0785259729043872	n/a	0.0061663284205805	n/a	0.106517163542648	n/a	0.0113459061291712	n/a	0.0010267172515105	n/a	1.0541483145492754e-06	n/a	0.0036378723623848	n/a	1.3234115325003166e-05	n/a	0.0007071351270208	n/a	n/a	5.00040087866723e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1655.9008653912497	4.577497708887449	2742007.6760034896	20.95348527486985	2217.961468758668	-8.031021389029775	64.49730455105373	4919353.076898108	1706.8817727115995	2.918946280503633	8.520247388465993	2913445.3860150925	1802.3334333358275	1230.8413218232774	0.690189	13.701324	0.1994090547862801	0.1180478583283538	-0.0838628627	0.0333938983	-0.0157863298	0.0339384312	-0.0507552387	0.0883699807	-0.0097287983	-0.0585864093	-0.0222371926	-0.0556513732	-0.0272924492	-0.069509171	0.0058348148	0.0466330697	0.0002835877	0.0380065097	-0.055564763	0.0978306547	0.0674310589	-0.0183984862	-0.0115987198	-0.0362883668	-0.0173443708	-0.0068455051	0.1063506053	-0.0227047099	-0.0404898012	0.1003958306	-0.1121531567	0.0764342348	-0.1223416489	0.0864099675	-0.1752942049	0.0581252679	-0.0345200979	0.0112766982	0.077308766	-0.0679320311	0.1362111975	-0.0037333991	-0.0576689208	-0.0812058063	0.0964985283	0.1289999139	0.1287014744	0.1282045865	0.1275100165	0.0006621297416842	0.0165588337069664	0.0002741949737349	4.384157948227854e-07	0.1074992651555675	0.0289732922511802	0.011556092008987	0.0008394516638723	0.0462115406543546	-0.0603056228882933	0.002135506489649	0.003636768151945	0.0020470049870416	0.0010202877355311	4.190229416973182e-06	1.04098706327518e-06	0.0027957395239359	-0.0008421328384488	7.816159485697333e-06	7.09187717594001e-07	0.0007161406718376	9.005544816799937e-06	8.109983744739219e-11	5.12857461860009e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1654.357297848967	-1.5435675422827444	2736898.068946136	2.382600757588792	2212.826631625024	-5.134837133643941	26.366552389048728	4896601.70162895	1705.0334815023737	-1.848291209225863	3.4161803941016027	2907139.173044105	1799.6268117175125	1263.5788208007812	0.674761	13.395051	0.1072923896500123	0.0872897494778796	-0.0519860573	-0.0084380135	-0.0573751552	-0.0144710698	-0.0651957427	0.0387824553	0.041432324	-0.0755537695	-0.0185555611	-0.0187043167	0.0324934934	-0.0030880822	-0.0402081735	0.0701472773	0.014969913	0.0229914862	0.0176661164	0.0479800171	0.0551437679	-0.0084255306	-0.0029738757	-0.0455242216	-0.0331577398	-0.0341497075	0.0728624986	-0.0051952593	-0.0462528727	0.0716899009	-0.1733011425	0.0349619291	-0.0488954622	0.1075720319	-0.0289450301	0.1292508852	-0.0205043995	0.0173040747	-0.0254315221	0.0950580075	0.0123057457	0.0098979425	0.0349442005	0.032032887	0.1346372563	0.1288230331	0.1279949812	0.1266188352	0.124700488	-1.50677552852585e-05	-0.0006771974969694	4.585964499016997e-07	2.2703724933643543e-10	0.0897665107505218	-0.0177327544050456	0.0080580264523235	0.0003144505787896	0.0677229549814768	0.0215114143271222	0.0045863986314231	0.0004627409463531	0.0008198720814955	-0.0012271329055461	6.721902300157638e-07	1.5058551678740137e-06	0.0028353284149822	3.95888910462998e-05	8.039087220805474e-06	1.5672802942757967e-09	0.0007968393436627	8.069867182510003e-05	6.512275634335193e-09	6.349529396088025e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1658.067857969825	3.710560120857963	2749189.0216326434	13.76825641050146	2221.67697053266	8.850338907635887	78.32849878001359	4935848.561395179	1705.5610312842368	0.527549781863172	0.2783087723438804	2908938.4314353494	1800.5040683306856	1278.263680157219	0.55347	10.987231	0.0828494261836941	0.0375492709572882	-0.0206630261	-0.0139629106	-0.0188751833	-0.0329560734	-0.0187669643	-0.0157579356	0.0177777486	-0.0802265218	0.0384525102	-0.0085436851	0.0770317219	0.0059019808	-0.020506161	0.0781198042	-0.0186520001	0.0265922473	0.0642937725	0.0500624008	-0.011770223	-0.0043563983	-0.0136477432	-0.0420517872	-0.0518829758	-0.0330303468	0.0576348863	-0.0046047021	-0.0409211592	0.0806817402	-0.1558103094	0.043325607	-0.0089226692	0.1229201772	-0.0093471793	0.1126085651	-0.0090543673	-0.0216559144	0.0046170032	0.0688419063	0.0004937919	0.0036292015	0.0395010497	0.0231611541	0.063223949	0.1285578634	0.1269376627	0.1242524367	0.1205247148	0.0135470295444832	0.0135620972997684	0.0001839304831683	0.0001835220094791	0.0954688006960395	0.0057022899455176	0.0091142919063401	3.2516110622752154e-05	0.0506738700292288	-0.017049084952248	0.0025678411037391	0.0002906712977089	0.0005571491358586	-0.0002627229456369	3.104151595879848e-07	6.902334616412951e-08	0.0024663075060766	-0.0003690209089055	6.082672714529778e-06	1.361764312095151e-07	0.0010958145688434	0.0002989752251807	8.938618527185026e-08	1.2008095692894465e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1655.0811014920264	-2.986756477798508	2739293.4525160594	8.92071425767135	2219.150321283284	-2.526649249376078	6.383956429372698	4924628.148451703	1706.1796940212855	0.6186627370486804	0.3827435822125646	2911049.148290568	1801.9180510208903	1268.0460182425902	0.677371	13.446864	0.0734968931906001	0.036155863345776	-0.0329274401	-0.0170912419	-0.059622716	-0.0300263977	0.0311177107	-0.0570066181	0.0341736149	-0.1033107261	0.0327860323	0.0681633293	0.1409916954	-0.0061630011	-0.0492995984	0.0994884295	-0.0402137698	0.0053344772	0.1483048852	0.0272742974	0.0511918358	0.0031745557	-0.0200457621	-0.0355743772	-0.0463369418	-0.0709814636	0.049251385	0.0340852479	-0.0609908705	0.071834545	-0.1307568131	0.0138046601	0.0299925792	0.1457739897	0.0340048187	0.1329006548	0.029732229	-0.0405357107	-0.0850366806	0.0356927519	-0.0994049565	0.0696566346	0.0728964706	0.1024458931	0.0504830859	0.1282045865	0.1255324169	0.1211199807	0.1150284477	0.0244272034449863	0.010880173900503	0.0001183781841051	0.0005966882681427	0.0688113968999886	-0.0266574037960509	0.0047350083433277	0.0007106171771457	0.0283759866045727	-0.0222978834246561	0.0008051966157828	0.0004971956052195	0.0004080300297785	-0.0001491191060801	1.6648850520104362e-07	2.223650779812812e-08	0.0025182429714911	5.193546541450026e-05	6.341547663464327e-06	2.697292567820752e-09	0.0011679886387366	7.21740698932001e-05	5.209096364948534e-09	1.364197460217776e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1660.1528273882725	5.071725896246107	2756107.4102852754	25.72240356665338	2229.066502678324	9.916181395039985	98.33065345933714	4968737.473362574	1706.2432521508017	0.0635581295161955	0.0040396358275974	2911266.035510144	1801.2554627519598	1261.774449472329	0.747403	14.837091	0.2548593315159195	0.1111141832957098	-0.0406405641	0.0285183165	0.032399182	0.045969902	0.0578579747	-0.1187956079	0.0126441591	-0.0377349629	0.0455066699	-0.0464258754	-0.0402784797	0.0033082868	-0.0015163617	0.0437982695	-0.006470086	0.0238189547	-0.0623367903	-0.0078407426	-0.0863441041	0.006288287	-0.0104244177	-0.0240677923	-0.0175838573	-0.0114321716	0.0475259461	0.0089108942	-0.0271179576	0.0073816959	-0.0948249601	0.0860252207	-0.0328357593	0.0605470103	-0.0552518772	-0.0417560046	-0.0637555117	-0.0396137281	0.0644735544	0.1071049068	0.0227240206	0.0035444169	-0.1251311048	-0.0026217041	-0.0036050556	0.1277634447	0.1237830955	0.1172407796	0.1082719048	-0.053818636660992	-0.0782458401059782	0.0061224114938903	0.0028964456520478	0.1139617572563054	0.0451503603563168	0.012987282116945	0.0020385550403052	0.0911802262035621	0.0628042395989894	0.0083138336505327	0.0039443725116072	0.001384781074508	0.0009767510447295	1.9176186243155315e-06	9.5404260338017e-07	0.0021477900748752	-0.0003704528966159	4.613002205732417e-06	1.3723534861111094e-07	0.0011420147509893	-2.5973887747300032e-05	6.746428447093426e-10	1.304197691477153e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1659.3535814188142	-0.7992459694582976	2753454.308167445	0.6387941196953341	2215.7838326177653	-13.282670060558758	176.42932393766398	4909697.992890273	1709.8275524515143	3.5843003007125844	12.847208645688324	2923510.259122336	1802.2166896415745	1265.2296506272148	0.711894	14.132196	0.1539604474030089	0.0655687593418963	-0.0251607874	0.0120327548	-0.0381635111	-0.0287151725	0.0473808606	-0.073764279	-0.0134128998	-0.0423469753	0.0153222498	0.0834962806	0.0465834975	-0.0206813461	0.0087389916	0.049671577	-0.0065089849	-0.059572309	0.0775543831	-0.0352658062	-0.0024676202	0.0026767511	-0.0088222349	-0.0346447439	-0.0372850309	-0.0389176621	0.0324489073	0.002037153	-0.0085984186	0.0004570161	-0.0858577288	0.0230086639	0.017944748	0.0612721568	-0.0454867	-0.034415194	-0.0087020452	-0.0410925037	-0.0391618857	-0.0362474727	-0.0065499204	-0.0017580828	-0.0560772911	-0.0118247833	0.05759368	0.1272347401	0.1216944932	0.1126387502	0.1003291122	-0.0139889636874812	0.0398296729735107	0.0015864028491768	0.0001956911050496	0.1387715004191108	0.0248097431628053	0.0192575293285712	0.0006155233558043	0.0914547949267898	0.0002745687232277	0.0083639795151011	7.538798377489085e-08	0.0007167263790878	-0.0006680546954202	5.136967024803088e-07	4.4629707607297634e-07	0.0018861059515757	-0.0002616841232994	3.557395660569277e-06	6.847858038702784e-08	0.0002908243188397	-0.0008511904321496	7.24525151783023e-07	8.45787844285755e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1663.476692753546	4.123111334731902	2767154.707334276	17.00004707859469	2219.26712162537	3.483289007604526	12.133302310498523	4925146.557127354	1707.376480892226	-2.451071559288266	6.007751788751812	2915134.447503922	1801.1582125826365	1274.3842455991764	0.755505	14.997942	0.2683862881830715	0.116024794265553	-0.0117841494	-0.0199492266	-0.026487698	-0.0464214542	0.0106473794	-0.0468480797	-0.007530815	-0.0353400284	0.0266103155	0.0174122832	0.0151147466	0.0197832856	-0.0027908745	0.0449967952	-0.030559556	-0.0225677944	0.0176679167	-0.0265298425	-0.0567915681	0.004679099	-0.0207509564	0.0012552875	-0.0436436558	-0.0898376853	0.0167292865	-0.0345616317	0.0122012069	0.0638407322	-0.0190625078	0.0036872047	0.0261770359	0.0401892533	-0.0029698129	0.0252481736	0.0586773383	-0.1268138426	-0.1341367693	-0.0248260232	-0.0802450952	0.0238561858	-0.0371414486	0.1154211916	-0.1786585006	0.1266188352	0.1192723348	0.1073422654	0.0912870929	0.0236205099617734	0.0376094736492546	0.0014144725081739	0.0005579284908542	0.0655476142874675	-0.0732238861316433	0.0042964897387786	0.0053617375002198	0.0235800705345212	-0.0678747243922686	0.0005560197264129	0.0046069782113264	0.0001605715156868	-0.000556154863401	2.578321164995625e-08	3.09308232084585e-07	0.0027350587497299	0.0008489527981541	7.480546364474083e-06	7.207208534938457e-07	0.0006792807374826	0.0003884564186429	1.5089838918486805e-07	4.61422320314905e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1664.7794177445678	1.3027249910217051	2771490.5097459424	1.6970924022325018	2230.5302756044284	11.263153979058645	126.85863755598454	4975265.310387967	1694.5208039705662	-12.85567692165978	165.26842911409585	2871400.7550890543	1793.5676158078804	1306.294115487325	0.953948	18.937342	0.2739300251674059	0.1433106533125323	0.0410987876	-0.0188322681	0.0345642093	-0.0103480151	0.0630168783	-0.0233922512	0.052683707	-0.1010808688	0.0202371157	-0.3395908236	-0.2845354735	-0.0440211881	-0.0361832877	0.0942463881	0.0094917451	0.1290002407	-0.3840974209	0.0425909068	-0.2336690322	0.0135771143	-0.0289586682	-0.0037360518	-0.0372463485	-0.0603284333	-0.0142206687	-0.00472786	0.0128538916	-0.0106480579	0.0070181034	-0.0404898349	-0.03192447	-0.0934458876	-0.1327364843	-0.1164567864	0.2239856041	-0.0455808806	-0.1015034239	0.130307599	-0.0717338472	0.0317002681	-0.2232766184	-0.0360007578	-0.3987773801	0.1259161521	0.1165232592	0.1013839798	0.0812449131	-0.0114612730708785	-0.0350817830326519	0.00123073150075	0.0001313607804052	0.1047088774638922	0.0391612631764246	0.0109639490197483	0.0015336045335731	0.1056261483199705	0.0820460777854493	0.0111568832089124	0.0067315588799759	-0.0008261341909051	-0.0009867057065919	6.824977013824241e-07	9.735881514210209e-07	0.0019079387017895	-0.0008271200479403	3.640230089786203e-06	6.841275737049294e-07	0.0001402884685573	-0.0005389922689253	2.90512665961243e-07	1.9680854410152553e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1665.8569575940949	1.0775398495270565	2775079.403164654	1.1610921273187915	2227.029435558432	-3.5008400459964832	12.25588102765266	4959660.106843708	1712.909326314528	18.388522343961768	338.1377539943812	2934058.36017529	1806.5790702714348	1297.9151486426283	1.154089	22.910446	0.1530561177643536	0.0924680888395479	0.0424570103	0.0081057631	0.0298093789	-0.0039355173	0.0055574782	0.0012730246	-0.0510152216	-0.0197589006	0.0063586963	0.1379908365	0.0274971891	0.0372569541	0.0497067167	0.023912106	-0.013964814	-0.0989421191	0.0798775815	-0.0548822074	0.0612794467	0.0075595526	-0.0153022042	-0.0092299707	-0.0373496599	-0.0125730155	-0.0148228752	0.0404719762	0.0914534308	-0.0944099163	0.0571424889	0.065417066	0.0519139941	-0.0005666874	0.0301117555	-0.1468393536	-0.1238987048	-0.0563681998	0.068756601	-0.0737828963	-0.0260293276	-0.0272948138	-0.0541510507	-0.0075788109	0.1106648792	0.1251271724	0.1134548014	0.0948006283	0.0703125971	-0.0605249215465875	-0.049063648475709	0.0024072416017479	0.0036632661282205	0.07951491176469	-0.0251939656992021	0.0063226211929464	0.0006347359076525	0.0857361558832678	-0.0198899924367026	0.0073506884256399	0.000395611799132	0.0002529304533628	0.0010790646442679	6.397381423831154e-08	1.1643805065090097e-06	0.0019390105872396	3.107188545009988e-05	3.759762057427258e-06	9.654620654241287e-10	7.225477522050444e-05	-6.803369333679556e-05	4.62858342904514e-09	5.2207525421656225e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
